PAIS;AÑO;POBLACION;GDP USD;electricity_demand;electricity_generation;electricity_share_energy;energy_cons_change_% ;energy_cons_change_twh;energy_per_capita;fossil_cons_change_% ;fossil_cons_change_twh;fossil_elec_per_capita;fossil_electricity;fossil_energy_per_capita;fossil_fuel_consumption;fossil_share_elec;fossil_share_energy;greenhouse_gas_emissions;hydro_cons_change_% %;hydro_cons_change_twh;hydro_consumption;hydro_elec_per_capita;hydro_electricity;hydro_energy_per_capita;hydro_share_elec;hydro_share_energy;low_carbon_cons_change_%;low_carbon_cons_change_twh;low_carbon_consumption;low_carbon_elec_per_capita;low_carbon_electricity;low_carbon_energy_per_capita;low_carbon_share_elec %;low_carbon_share_energy %;net_elec_imports_Trw;net_elec_imports_share_demand %;renewables_cons_change_% %;renewables_cons_change_twh;renewables_consumption;renewables_elec_per_capita;renewables_electricity;renewables_energy_per_capita;renewables_share_elec %;renewables_share_energy %;solar_cons_change_% %;solar_cons_change_twh;solar_consumption;solar_elec_per_capita;solar_electricity;solar_energy_per_capita;solar_share_elec;solar_share_energy;wind_cons_change_% %;wind_cons_change_twh;wind_consumption;wind_elec_per_capita;wind_electricity;wind_energy_per_capita;wind_share_elec %;wind_share_energy %
Brazil;2022;215313504;;703.98;680.88;18.279;4.319;154.2;17299.75;-2.948;-56.891;345.45;74.38;8699.518;1873.124;10.924;50.287;69.48;17.721;164.164;1113.543;1988.078;428.06;5171.727;62.869;29.895;10.758;211.091;1851.746;2816.823;606.5;8600.232;89.076;49.713;23.1;3.281;10.988;211.59;1815.322;2749.293;591.96;8431.066;86.94;48.735;79.835;34.708;78.544;122.983;26.48;364.788;3.889;2.109;12.929;23.675;212.824;371.551;80;988.44;11.75;5.714
Chile;2010;17004166;3.21E+11;59.22;58.26;16.008;2.702;9.575;21403.439;6.868;18.75;2158.883;36.71;17157.926;291.756;63.011;80.164;25.93;-13.582;-9.923;60.395;1248.518;21.23;3551.784;36.44;16.594;-11.004;-9.175;72.191;1267.337;21.55;4245.514;36.989;19.836;0.96;1.621;-11.004;-9.175;72.191;1267.337;21.55;4245.514;36.989;19.836;;0;0;0;0;0;0;0;311.731;0.682;0.903;18.819;0.32;53.103;0.549;0.248
Chile;2011;17173568;3.39E+11;62.77;62.04;16.085;5.98;21.764;22459.619;7.771;22.672;2387.39;41;18308.828;314.428;66.086;81.519;29.41;-5.742;-3.815;56.58;1206.505;20.72;3294.599;33.398;14.669;-1.315;-0.908;71.284;1225.139;21.04;4150.789;33.914;18.481;0.73;1.163;-1.315;-0.908;71.284;1225.139;21.04;4150.789;33.914;18.481;;0;0;0;0;0;0;0;3.771;0.028;0.931;18.633;0.32;54.229;0.516;0.241
Chile;2012;17341770;3.57E+11;65.76;65.76;16.328;4.416;17.035;23224.074;4.076;12.815;2604.694;45.17;18870.238;327.243;68.689;81.253;32.65;-1.697;-1.297;55.283;1164.818;20.2;3187.85;30.718;13.726;5.532;4.219;75.503;1187.307;20.59;4353.833;31.311;18.747;0;0;5.532;4.219;75.503;1187.307;20.59;4353.833;31.311;18.747;;0.001;0.001;0;0;0.054;0;0;20.969;0.188;1.12;22.489;0.39;64.571;0.593;0.278
Chile;2013;17509926;3.71E+11;68.17;68.17;16.476;2.734;11.013;23629.986;2.672;8.743;2741.302;48;19188.342;335.986;70.412;81.203;35.44;-1.264;-1.028;54.255;1119.936;19.61;3098.555;28.766;13.113;3.017;2.27;77.773;1151.918;20.17;4441.646;29.588;18.797;0;0;3.017;2.27;77.773;1151.918;20.17;4441.646;29.588;18.797;1884.947;0.017;0.018;0.571;0.01;1.052;0.015;0.004;33.47;0.366;1.486;31.411;0.55;84.841;0.807;0.359
Chile;2014;17687108;3.78E+11;69.95;69.95;17.08;-1.021;-4.225;23154.375;-2.966;-9.965;2516.522;44.51;18432.725;326.022;63.631;79.608;33.08;15.762;8.176;62.431;1331.478;23.55;3529.767;33.667;15.244;9.438;5.739;83.512;1438.336;25.44;4721.649;36.369;20.392;0;0;9.438;5.739;83.512;1438.336;25.44;4721.649;36.369;20.392;6689.15;1.224;1.243;26.008;0.46;70.26;0.658;0.303;164.756;2.424;3.91;80.85;1.43;221.04;2.044;0.955
Chile;2015;17870122;3.86E+11;71.75;71.75;17.321;1.147;4.696;23180.021;-0.776;-2.529;2482.915;44.37;18102.402;323.492;61.84;78.095;32.76;2.501;1.181;63.612;1337.988;23.91;3559.688;33.324;15.357;9.105;7.225;90.738;1532.166;27.38;5077.62;38.16;21.905;0;0;9.105;7.225;90.738;1532.166;27.38;5077.62;38.16;21.905;196.504;2.42;3.663;76.664;1.37;204.963;1.909;0.884;46.533;1.785;5.695;117.515;2.1;318.671;2.927;1.375
Chile;2016;18083880;3.93E+11;73.36;73.36;16.907;4.749;19.674;23993.93;7.063;22.849;2714.572;49.09;19151.92;346.341;66.917;79.82;36.27;-16.641;-10.899;52.713;1076.096;19.46;2914.906;26.527;12.149;-3.819;-3.175;87.562;1342.079;24.27;4842.009;33.083;20.18;0;0;-3.819;-3.175;87.562;1342.079;24.27;4842.009;33.083;20.18;87.506;3.164;6.827;141.563;2.56;377.527;3.49;1.573;15.946;0.869;6.564;124.42;2.25;362.957;3.067;1.513
Chile;2017;18368582;3.97E+11;74.18;74.22;16.481;3.79;16.444;24517.238;1.009;3.496;2444.391;44.9;19045.4;349.837;60.496;77.682;33.1;8.303;4.041;56.754;1187.354;21.81;3089.73;29.386;12.602;15.539;12.948;100.51;1596.204;29.32;5471.836;39.504;22.318;-0.04;-0.054;15.539;12.948;100.51;1596.204;29.32;5471.836;39.504;22.318;52.767;3.541;10.368;212.319;3.9;564.456;5.255;2.302;47.871;3.085;9.649;193.265;3.55;525.281;4.783;2.142
Chile;2018;18701452;4.13E+11;76.74;76.74;16.388;3.982;17.931;25039.641;1.284;4.491;2344.738;43.85;18946.553;354.328;57.141;75.666;32.62;9.571;5.068;61.822;1241.08;23.21;3305.738;30.245;13.202;13.594;13.44;113.95;1758.687;32.89;6093.088;42.859;24.334;0;0;13.594;13.44;113.95;1758.687;32.89;6093.088;42.859;24.334;31.386;3.174;13.543;291.421;5.45;724.154;7.102;2.892;-1.039;-0.156;9.493;214.957;4.02;507.586;5.238;2.027
